#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.410901,10,51.695458
0.380586,10,51.732791
0.422241,10,51.778187
0.407641,10,51.818571
0.403371,10,51.865818
0.378489,10,51.905481
0.385064,10,51.941955
0.3743,10,51.990524
0.409308,10,52.0289
0.415077,10,52.075421
0.375788,10,52.116052
0.407903,10,52.154277
0.386416,10,52.205758
0.394429,10,52.245914
0.422646,10,52.285802
0.357393,10,52.325784
0.340805,10,52.361605
0.331858,10,52.407441
0.360716,10,52.440187
0.368809,10,52.48663
0.343356,10,52.552016
0.436968,10,52.601403
0.378935,10,52.645253
0.413426,10,52.711335
0.3874,10,52.772824
0.407144,10,52.817959
0.396084,10,52.851352
0.390007,10,52.904555
0.368386,10,52.941028
0.410506,10,52.97487
0.396563,10,53.024201
0.3587,10,53.059081
0.37494,10,53.098393
0.420958,10,53.134288
0.396687,10,53.176533
0.412953,10,53.230337
0.377573,10,53.272554
0.399427,10,53.334687
0.38475,10,53.37987
0.375096,10,53.431122
0.3678,10,53.492543
0.405954,10,53.549322
0.335298,10,53.587896
0.37395,10,53.636268
0.316806,10,53.685931
0.370549,10,53.726746
0.379902,10,53.769331
0.382505,10,53.81624
0.362719,10,53.854903
0.338403,10,53.88753
0.384736,10,53.938598
0.407471,10,53.976502
0.394599,10,54.027028
0.397497,10,54.070939
0.386238,10,54.109726
0.382181,10,54.164952
0.367779,10,54.222068
0.386437,10,54.274715
0.430959,10,54.335083
0.417988,10,54.376163
0.395391,10,54.424903
0.439084,10,54.464572
0.383225,10,54.498601
0.424777,10,54.546924
0.436661,10,54.596881
0.363349,10,54.649147
0.400064,10,54.686996
0.397867,10,54.732373
0.416598,10,54.777642
0.36182,10,54.825616
0.429427,10,54.876591
0.384468,10,54.913611
0.386231,10,54.961614
0.424286,10,55.015297
0.355061,10,55.067869
0.39277,10,55.104327
0.418951,10,55.15368
0.368186,10,55.206151
0.370373,10,55.243316
0.362346,10,55.290205
0.363488,10,55.336267
0.385032,10,55.379004
0.402397,10,55.436426
0.380167,10,55.489766
0.402993,10,55.526322
0.378685,10,55.580704
0.379856,10,55.620645
0.37125,10,55.672476
0.373147,10,55.707986
0.36603,10,55.747699
0.347115,10,55.789571
0.401979,10,55.82647
0.412705,10,55.876812
0.372746,10,55.919614
0.38895,10,55.971795
0.397581,10,56.022449
0.39154,10,56.0779
0.38153,10,56.119557
0.388163,10,56.166435
0.384571,10,56.226478
0.393929,10,56.262711
0.392859,10,56.305029
0.405466,10,56.343026
0.388059,10,56.384752
0.362995,10,56.438583
0.368759,10,56.488307
