#{"t_start": 1765848107.7643044, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.359374,10,25.934875
0.308106,10,25.966299
0.308506,10,25.990793
0.238298,10,26.022376
0.34728,10,26.050381
0.320529,10,26.089221
0.3664,10,26.120466
0.327185,10,26.156089
0.346872,10,26.177843
0.376241,10,26.205498
0.360434,10,26.226469
0.396155,10,26.256564
0.389488,10,26.284764
0.373983,10,26.309821
0.372135,10,26.337967
0.338371,10,26.374707
0.418038,10,26.406336
0.389902,10,26.449567
0.416188,10,26.477089
0.395952,10,26.508138
0.27917,10,26.528658
0.392131,10,26.568171
0.349115,10,26.592599
0.290645,10,26.636866
0.307422,10,26.656498
0.357404,10,26.688881
0.356618,10,26.712233
0.366965,10,26.746882
0.371999,10,26.777201
0.365281,10,26.846806
0.355346,10,26.883424
0.392311,10,26.913801
0.241059,10,26.932511
0.400568,10,26.960607
0.319993,10,26.98701
0.303807,10,27.009181
0.362116,10,27.034465
0.385632,10,27.062835
0.382953,10,27.090185
0.338858,10,27.125542
0.348799,10,27.153261
0.304223,10,27.177655
0.341798,10,27.210078
0.347828,10,27.238387
0.328259,10,27.260046
0.298142,10,27.282337
0.385581,10,27.305859
0.361828,10,27.331742
0.339525,10,27.362031
0.33753,10,27.396472
0.30179,10,27.417182
0.42335,10,27.450004
0.426356,10,27.474108
0.38813,10,27.505742
0.391392,10,27.529517
0.351019,10,27.556927
0.345079,10,27.577438
0.39859,10,27.602436
0.398696,10,27.619541
0.376425,10,27.6474
0.299627,10,27.667056
0.368232,10,27.690532
0.384308,10,27.712475
0.371953,10,27.732967
0.357867,10,27.752567
0.413211,10,27.77628
0.418641,10,27.797659
0.40117,10,27.825521
0.373019,10,27.852747
0.32545,10,27.886611
0.300495,10,27.915648
0.353174,10,27.950402
0.317733,10,27.969197
0.402027,10,27.999646
0.385888,10,28.027529
0.411062,10,28.06276
0.391728,10,28.084177
0.374813,10,28.117844
0.369004,10,28.147047
0.338071,10,28.180283
0.401697,10,28.264558
0.349457,10,28.336267
0.389698,10,28.368712
0.389973,10,28.396395
0.398759,10,28.419374
0.364625,10,28.45227
0.41032,10,28.482042
0.358221,10,28.515312
0.295743,10,28.548846
0.333581,10,28.577988
0.269695,10,28.605257
0.40278,10,28.652355
0.295507,10,28.674526
0.341125,10,28.707533
0.357089,10,28.728343
0.35991,10,28.758193
0.353129,10,28.779508
0.35625,10,28.806216
0.366242,10,28.838117
0.28112,10,28.875149
0.320905,10,28.890311
0.336004,10,28.922574
0.319657,10,28.940228
0.338831,10,28.981003
0.339994,10,29.005527
0.373056,10,29.043478
0.368841,10,29.085877
0.292933,10,29.130319
0.320133,10,29.163336
0.220712,10,29.208133
0.396284,10,29.238401
0.383925,10,29.283865
0.332172,10,29.312479
0.38085,10,29.349406
0.342317,10,29.375433
0.361516,10,29.425459
0.349236,10,29.459839
0.371472,10,29.514073
0.351228,10,29.549401
0.362855,10,29.579759
0.335678,10,29.618027
0.321312,10,29.671086
0.30989,10,29.709776
0.34908,10,29.748913
0.390019,10,29.776876
0.280841,10,29.819228
0.3293,10,29.84985
0.257718,10,29.905174
0.36076,10,29.932014
0.361786,10,29.968462
0.346747,10,30.013179
0.375466,10,30.065888
0.352639,10,30.102022
0.374327,10,30.13511
0.376762,10,30.165335
0.376779,10,30.204096
0.334645,10,30.232845
0.358508,10,30.270511
0.261827,10,30.298999
0.386289,10,30.335391
0.332157,10,30.356659
0.324588,10,30.387066
0.36003,10,30.427902
0.328638,10,30.469823
0.338262,10,30.505792
0.331711,10,30.547567
0.36932,10,30.575114
0.304098,10,30.613441
0.318459,10,30.659671
0.309293,10,30.70281
0.340541,10,30.744488
