source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteMI-v0,48,22,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,22,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,23,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,3,3.8681641621632568,0.0
