source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,layered,24,15,16,4.337367404442795,0.0
baseline,layered,24,15,17,5.512092644668852,0.0
baseline,layered,24,15,18,3.8438057405965758,0.0
baseline,layered,24,15,19,6.048170256893621,0.0
baseline,layered,24,15,20,5.682811077897046,0.0
baseline,layered,24,15,21,8.295391488466219,0.0
baseline,layered,24,15,22,5.986041034392833,0.0
baseline,layered,24,15,23,4.597689936596569,0.0
baseline,layered,24,16,0,0.0,0.0
baseline,layered,24,16,1,0.0,0.0
baseline,layered,24,16,2,0.0,0.0
baseline,layered,24,16,3,0.0,0.0
baseline,layered,24,16,4,0.0,0.0
baseline,layered,24,16,5,0.0,0.0
baseline,layered,24,16,6,0.0,0.0
baseline,layered,24,16,7,0.0,0.0
baseline,layered,24,16,8,0.0,0.0
baseline,layered,24,16,9,0.0,0.0
baseline,layered,24,16,10,0.0,0.0
baseline,layered,24,16,11,0.0,0.0
baseline,layered,24,16,12,0.0,0.0
baseline,layered,24,16,13,0.0,0.0
baseline,layered,24,16,14,0.0,0.0
baseline,layered,24,16,15,0.0,0.0
baseline,layered,24,16,16,4.337367404442795,0.0
baseline,layered,24,16,17,5.512092644668852,0.0
baseline,layered,24,16,18,3.8438057405965758,0.0
baseline,layered,24,16,19,6.048170256893621,0.0
baseline,layered,24,16,20,5.682811077897046,0.0
baseline,layered,24,16,21,8.295391488466219,0.0
baseline,layered,24,16,22,5.986041034392833,0.0
baseline,layered,24,16,23,4.597689936596569,0.0
baseline,layered,24,17,0,0.0,0.0
baseline,layered,24,17,1,0.0,0.0
baseline,layered,24,17,2,0.0,0.0
baseline,layered,24,17,3,0.0,0.0
baseline,layered,24,17,4,0.0,0.0
baseline,layered,24,17,5,0.0,0.0
baseline,layered,24,17,6,0.0,0.0
baseline,layered,24,17,7,0.0,0.0
baseline,layered,24,17,8,0.0,0.0
baseline,layered,24,17,9,0.0,0.0
baseline,layered,24,17,10,0.0,0.0
baseline,layered,24,17,11,0.0,0.0
baseline,layered,24,17,12,0.0,0.0
baseline,layered,24,17,13,0.0,0.0
baseline,layered,24,17,14,0.0,0.0
baseline,layered,24,17,15,0.0,0.0
baseline,layered,24,17,16,0.0,0.0
baseline,layered,24,17,17,5.512092644668852,0.0
baseline,layered,24,17,18,3.8438057405965758,0.0
baseline,layered,24,17,19,6.048170256893621,0.0
baseline,layered,24,17,20,5.682811077897046,0.0
baseline,layered,24,17,21,8.295391488466219,0.0
baseline,layered,24,17,22,5.986041034392833,0.0
baseline,layered,24,17,23,4.597689936596569,0.0
baseline,layered,24,18,0,0.0,0.0
baseline,layered,24,18,1,0.0,0.0
baseline,layered,24,18,2,0.0,0.0
baseline,layered,24,18,3,0.0,0.0
baseline,layered,24,18,4,0.0,0.0
baseline,layered,24,18,5,0.0,0.0
baseline,layered,24,18,6,0.0,0.0
baseline,layered,24,18,7,0.0,0.0
baseline,layered,24,18,8,0.0,0.0
baseline,layered,24,18,9,0.0,0.0
baseline,layered,24,18,10,0.0,0.0
baseline,layered,24,18,11,0.0,0.0
baseline,layered,24,18,12,0.0,0.0
baseline,layered,24,18,13,0.0,0.0
baseline,layered,24,18,14,0.0,0.0
baseline,layered,24,18,15,0.0,0.0
baseline,layered,24,18,16,0.0,0.0
baseline,layered,24,18,17,0.0,0.0
baseline,layered,24,18,18,3.8438057405965758,0.0
baseline,layered,24,18,19,6.048170256893621,0.0
baseline,layered,24,18,20,5.682811077897046,0.0
baseline,layered,24,18,21,8.295391488466219,0.0
baseline,layered,24,18,22,5.986041034392833,0.0
baseline,layered,24,18,23,4.597689936596569,0.0
baseline,layered,24,19,0,0.0,0.0
baseline,layered,24,19,1,0.0,0.0
baseline,layered,24,19,2,0.0,0.0
baseline,layered,24,19,3,0.0,0.0
baseline,layered,24,19,4,0.0,0.0
baseline,layered,24,19,5,0.0,0.0
baseline,layered,24,19,6,0.0,0.0
baseline,layered,24,19,7,0.0,0.0
baseline,layered,24,19,8,0.0,0.0
baseline,layered,24,19,9,0.0,0.0
baseline,layered,24,19,10,0.0,0.0
baseline,layered,24,19,11,0.0,0.0
baseline,layered,24,19,12,0.0,0.0
baseline,layered,24,19,13,0.0,0.0
baseline,layered,24,19,14,0.0,0.0
baseline,layered,24,19,15,0.0,0.0
baseline,layered,24,19,16,0.0,0.0
baseline,layered,24,19,17,0.0,0.0
baseline,layered,24,19,18,0.0,0.0
baseline,layered,24,19,19,6.048170256893621,0.0
baseline,layered,24,19,20,5.682811077897046,0.0
baseline,layered,24,19,21,8.295391488466219,0.0
baseline,layered,24,19,22,5.986041034392833,0.0
baseline,layered,24,19,23,4.597689936596569,0.0
baseline,layered,24,20,0,0.0,0.0
baseline,layered,24,20,1,0.0,0.0
baseline,layered,24,20,2,0.0,0.0
baseline,layered,24,20,3,0.0,0.0
baseline,layered,24,20,4,0.0,0.0
baseline,layered,24,20,5,0.0,0.0
baseline,layered,24,20,6,0.0,0.0
baseline,layered,24,20,7,0.0,0.0
baseline,layered,24,20,8,0.0,0.0
baseline,layered,24,20,9,0.0,0.0
baseline,layered,24,20,10,0.0,0.0
baseline,layered,24,20,11,0.0,0.0
baseline,layered,24,20,12,0.0,0.0
baseline,layered,24,20,13,0.0,0.0
baseline,layered,24,20,14,0.0,0.0
baseline,layered,24,20,15,0.0,0.0
baseline,layered,24,20,16,0.0,0.0
baseline,layered,24,20,17,0.0,0.0
baseline,layered,24,20,18,0.0,0.0
baseline,layered,24,20,19,0.0,0.0
baseline,layered,24,20,20,5.682811077897046,0.0
baseline,layered,24,20,21,8.295391488466219,0.0
baseline,layered,24,20,22,5.986041034392833,0.0
baseline,layered,24,20,23,4.597689936596569,0.0
baseline,layered,24,21,0,0.0,0.0
baseline,layered,24,21,1,0.0,0.0
baseline,layered,24,21,2,0.0,0.0
baseline,layered,24,21,3,0.0,0.0
baseline,layered,24,21,4,0.0,0.0
baseline,layered,24,21,5,0.0,0.0
baseline,layered,24,21,6,0.0,0.0
baseline,layered,24,21,7,0.0,0.0
baseline,layered,24,21,8,0.0,0.0
baseline,layered,24,21,9,0.0,0.0
baseline,layered,24,21,10,0.0,0.0
baseline,layered,24,21,11,0.0,0.0
baseline,layered,24,21,12,0.0,0.0
baseline,layered,24,21,13,0.0,0.0
baseline,layered,24,21,14,0.0,0.0
baseline,layered,24,21,15,0.0,0.0
baseline,layered,24,21,16,0.0,0.0
baseline,layered,24,21,17,0.0,0.0
baseline,layered,24,21,18,0.0,0.0
baseline,layered,24,21,19,0.0,0.0
baseline,layered,24,21,20,0.0,0.0
baseline,layered,24,21,21,8.295391488466219,0.0
baseline,layered,24,21,22,5.986041034392833,0.0
baseline,layered,24,21,23,4.597689936596569,0.0
baseline,layered,24,22,0,0.0,0.0
baseline,layered,24,22,1,0.0,0.0
baseline,layered,24,22,2,0.0,0.0
baseline,layered,24,22,3,0.0,0.0
baseline,layered,24,22,4,0.0,0.0
