source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,48,23,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,23,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,24,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,25,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,26,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,27,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,27,1,4.24608393784969,0.0
